"Tile.Size","Match.Score","Prev.Length","Prev.Type","Browse.Time"
0.1,100,100,"AC",22.5029305888557
0.3,100,100,"TT",19.7001935252283
0.1,80,120,"AC",23.7304370111694
0.3,80,120,"TT",21.302410184311
0.1,100,120,"TT",22.1608401051084
0.3,100,120,"AC",24.08018477956
0.1,80,100,"TT",16.7241790820944
0.3,80,100,"AC",19.8596663531684
0.1,100,100,"AC",23.3950513351524
0.3,100,100,"TT",19.1156468663056
0.1,80,120,"AC",23.1959167472902
0.3,80,120,"TT",19.6536504937728
0.1,100,120,"TT",20.4702491356478
0.3,100,120,"AC",24.9374457090213
0.1,80,100,"TT",14.582300106253
0.3,80,100,"AC",22.6116593887374
0.1,100,100,"AC",23.4196759007538
0.3,100,100,"TT",19.3382828250219
0.1,80,120,"AC",23.883804455658
0.3,80,120,"TT",20.3263632457618
0.1,100,120,"TT",20.4832993582649
0.3,100,120,"AC",26.021621309008
0.1,80,100,"TT",16.7058076158495
0.3,80,100,"AC",21.0847713970302
0.1,100,100,"AC",24.5789310660672
0.3,100,100,"TT",20.3411956748694
0.1,80,120,"AC",24.0365647411385
0.3,80,120,"TT",20.7026653827652
0.1,100,120,"TT",19.7316649840258
0.3,100,120,"AC",24.6207200484241
0.1,80,100,"TT",14.7515693134156
0.3,80,100,"AC",19.9715048284946
0.1,100,100,"AC",25.7351941291438
0.3,100,100,"TT",19.4702349380706
0.1,80,120,"AC",24.1729925270718
0.3,80,120,"TT",18.7058479769987
0.1,100,120,"TT",19.0220879526373
0.3,100,120,"AC",24.8783094317901
0.1,80,100,"TT",16.332286759531
0.3,80,100,"AC",19.864269020256
0.1,100,100,"AC",22.9864233203452
0.3,100,100,"TT",18.2250884043785
0.1,80,120,"AC",24.9802347332827
0.3,80,120,"TT",19.9933275902173
0.1,100,120,"TT",20.2476187811137
0.3,100,120,"AC",24.5461080145547
0.1,80,100,"TT",14.9586136369641
0.3,80,100,"AC",19.5434454916376
0.1,100,100,"AC",23.469699672376
0.3,100,100,"TT",19.9127093352753
0.1,80,120,"AC",24.8154190512411
0.3,80,120,"TT",19.1084314615345
0.1,100,120,"TT",20.0501638603535
0.3,100,120,"AC",24.3336493882337
0.1,80,100,"TT",16.1187557213051
0.3,80,100,"AC",21.2817212958667
0.1,100,100,"AC",25.2093912702596
0.3,100,100,"TT",17.8075750104704
0.1,80,120,"AC",23.5288237155381
0.3,80,120,"TT",21.2139965679699
0.1,100,120,"TT",19.3671933334016
0.3,100,120,"AC",25.0125069581453
0.1,80,100,"TT",15.1816024252301
0.3,80,100,"AC",21.5997865316348
0.1,100,100,"AC",25.992283284498
0.3,100,100,"TT",19.7793139224278
0.1,80,120,"AC",23.0741623309541
0.3,80,120,"TT",17.6525258448214
0.1,100,120,"TT",19.8660389503971
0.3,100,120,"AC",26.8874595871365
0.1,80,100,"TT",16.0134153102636
0.3,80,100,"AC",20.753370013833
0.1,100,100,"AC",24.9154137683511
0.3,100,100,"TT",19.1741956191455
0.1,80,120,"AC",25.4004654880724
0.3,80,120,"TT",18.4237650235971
0.1,100,120,"TT",20.5513674392978
0.3,100,120,"AC",25.406125585947
0.1,80,100,"TT",15.4409003269566
0.3,80,100,"AC",21.9130454879385
0.1,100,100,"AC",23.4056207584603
0.3,100,100,"TT",18.7224339843711
0.1,80,120,"AC",22.8275667570255
0.3,80,120,"TT",19.4052789363861
0.1,100,120,"TT",19.7382355480879
0.3,100,120,"AC",25.7287710971623
0.1,80,100,"TT",17.1091887419337
0.3,80,100,"AC",23.0442083315473
0.1,100,100,"AC",24.2387671553039
0.3,100,100,"TT",18.2317362048835
0.1,80,120,"AC",22.8114004830526
0.3,80,120,"TT",18.5750175824995
0.1,100,120,"TT",19.7922955143262
0.3,100,120,"AC",25.9560705542711
0.1,80,100,"TT",17.7033354719
0.3,80,100,"AC",20.9432684322245
0.1,100,100,"AC",23.5733110594903
0.3,100,100,"TT",19.0537305094671
0.1,80,120,"AC",26.6304813310787
0.3,80,120,"TT",20.1089593680748
0.1,100,120,"TT",19.4765332043526
0.3,100,120,"AC",23.7608687168816
0.1,80,100,"TT",14.994534767356
0.3,80,100,"AC",22.6555904987132
0.1,100,100,"AC",23.1328115726475
0.3,100,100,"TT",19.9846094189692
0.1,80,120,"AC",23.7941399277159
0.3,80,120,"TT",18.6504165993346
0.1,100,120,"TT",19.421337052421
0.3,100,120,"AC",23.7640829100467
0.1,80,100,"TT",14.8623618956634
0.3,80,100,"AC",21.6315760899251
0.1,100,100,"AC",25.9740695804307
0.3,100,100,"TT",19.4470777036656
0.1,80,120,"AC",24.9985602608738
0.3,80,120,"TT",18.3789923443825
0.1,100,120,"TT",19.3375238756832
0.3,100,120,"AC",23.9552677590722
0.1,80,100,"TT",15.9375021269059
0.3,80,100,"AC",23.0825672026426
0.1,100,100,"AC",23.0567934223875
0.3,100,100,"TT",19.6310892464697
0.1,80,120,"AC",24.5387835460815
0.3,80,120,"TT",18.53058566798
0.1,100,120,"TT",22.2199268028575
0.3,100,120,"AC",24.5973279465199
0.1,80,100,"TT",15.5699026995454
0.3,80,100,"AC",19.9189051285213
0.1,100,100,"AC",24.3823164884774
0.3,100,100,"TT",19.2834515198151
0.1,80,120,"AC",23.407500770912
0.3,80,120,"TT",19.4200489815704
0.1,100,120,"TT",21.1547895445061
0.3,100,120,"AC",25.3818149758924
0.1,80,100,"TT",16.6704518728442
0.3,80,100,"AC",20.3027174892416
0.1,100,100,"AC",24.7268334889496
0.3,100,100,"TT",19.5736785602664
0.1,80,120,"AC",25.0629500795617
0.3,80,120,"TT",18.9488838791732
0.1,100,120,"TT",20.7922435849934
0.3,100,120,"AC",25.5233548337124
0.1,80,100,"TT",16.8115203916292
0.3,80,100,"AC",21.2004967700346
0.1,100,100,"AC",22.2520851252994
0.3,100,100,"TT",18.6241382962565
0.1,80,120,"AC",22.7090033898242
0.3,80,120,"TT",19.7582463797432
0.1,100,120,"TT",19.4705920268588
0.3,100,120,"AC",24.5678623443848
0.1,80,100,"TT",14.7716354189466
0.3,80,100,"AC",20.5280166007183
0.1,100,100,"AC",24.428819610666
0.3,100,100,"TT",19.088222601434
0.1,80,120,"AC",24.4255027720826
0.3,80,120,"TT",19.2701537619703
0.1,100,120,"TT",19.2820027460794
0.3,100,120,"AC",23.9734276946229
0.1,80,100,"TT",16.4358816422011
0.3,80,100,"AC",21.8307629307757
0.1,100,100,"AC",23.9189276493468
0.3,100,100,"TT",20.8904098188163
0.1,80,120,"AC",23.8269406500662
0.3,80,120,"TT",20.4053527895271
0.1,100,120,"TT",19.158930403263
0.3,100,120,"AC",26.0781605171966
0.1,80,100,"TT",16.3343686158381
0.3,80,100,"AC",23.1944712798621
0.1,100,100,"AC",26.0030417465205
0.3,100,100,"TT",18.0457229458459
0.1,80,120,"AC",25.811652763856
0.3,80,120,"TT",19.9360347337095
0.1,100,120,"TT",19.3901827959098
0.3,100,120,"AC",26.8501834336427
0.1,80,100,"TT",16.6741070479508
0.3,80,100,"AC",20.8563165202794
0.1,100,100,"AC",24.5166605934417
0.3,100,100,"TT",19.3878402505789
0.1,80,120,"AC",24.0247279820091
0.3,80,120,"TT",19.4752555802128
0.1,100,120,"TT",19.2424461489423
0.3,100,120,"AC",24.5423186754459
0.1,80,100,"TT",16.4806141136833
0.3,80,100,"AC",22.4791244171231
0.1,100,100,"AC",25.3240363922916
0.3,100,100,"TT",18.7427970470247
0.1,80,120,"AC",25.1243548855508
0.3,80,120,"TT",19.4650538047775
0.1,100,120,"TT",19.0655264811493
0.3,100,120,"AC",25.0429406158052
0.1,80,100,"TT",16.3371908979157
0.3,80,100,"AC",20.1478195439083
0.1,100,100,"AC",24.2929576674197
0.3,100,100,"TT",18.6138777225641
0.1,80,120,"AC",25.3589178323075
0.3,80,120,"TT",19.143368683973
0.1,100,120,"TT",18.772047867756
0.3,100,120,"AC",25.0664347734564
0.1,80,100,"TT",16.9815151872346
0.3,80,100,"AC",21.2953239959251
0.1,100,100,"AC",25.416294569917
0.3,100,100,"TT",18.0122722789139
0.1,80,120,"AC",24.4027842908175
0.3,80,120,"TT",21.9879883183678
0.1,100,120,"TT",20.2529786441292
0.3,100,120,"AC",24.9708904743424
0.1,80,100,"TT",17.1901713447818
0.3,80,100,"AC",21.8566762563855
0.1,100,100,"AC",25.5763176485337
0.3,100,100,"TT",18.3477043554073
0.1,80,120,"AC",23.0421843020463
0.3,80,120,"TT",18.3254847125795
0.1,100,120,"TT",20.6822037586886
0.3,100,120,"AC",25.9631204663555
0.1,80,100,"TT",14.6397030715727
0.3,80,100,"AC",19.643697345009
0.1,100,100,"AC",24.2223303028337
0.3,100,100,"TT",18.2696224454647
0.1,80,120,"AC",26.7474181276938
0.3,80,120,"TT",16.1617571104864
0.1,100,120,"TT",19.5442928183532
0.3,100,120,"AC",23.6990693789488
0.1,80,100,"TT",15.4868812571255
0.3,80,100,"AC",20.2283624830697
0.1,100,100,"AC",25.4270874056865
0.3,100,100,"TT",20.3616508126783
0.1,80,120,"AC",24.6856493695417
0.3,80,120,"TT",20.373335053253
0.1,100,120,"TT",18.5505170652472
0.3,100,120,"AC",24.1554953203316
0.1,80,100,"TT",14.0443462879358
0.3,80,100,"AC",20.9405379371232
0.1,100,100,"AC",24.1968555632617
0.3,100,100,"TT",18.6049404586254
0.1,80,120,"AC",23.7186289305385
0.3,80,120,"TT",20.6351835901672
0.1,100,120,"TT",20.7225086515729
0.3,100,120,"AC",23.3778362261972
0.1,80,100,"TT",15.1997465512701
0.3,80,100,"AC",21.3211973059142
0.1,100,100,"AC",25.9216935656564
0.3,100,100,"TT",18.6833577203647
0.1,80,120,"AC",23.2893834531839
0.3,80,120,"TT",20.7324164957234
0.1,100,120,"TT",19.6317533585652
0.3,100,120,"AC",24.6128762032796
0.1,80,100,"TT",18.5725433331347
0.3,80,100,"AC",20.879292027458
0.1,100,100,"AC",25.371917471055
0.3,100,100,"TT",20.4365006877833
0.1,80,120,"AC",23.9710483003985
0.3,80,120,"TT",18.2579818286352
0.1,100,120,"TT",18.2773578885475
0.3,100,120,"AC",24.3688105966138
0.1,80,100,"TT",15.7148812393643
0.3,80,100,"AC",22.2367672086958
0.1,100,100,"AC",23.3544155388508
0.3,100,100,"TT",17.575062513443
0.1,80,120,"AC",25.0289302447178
0.3,80,120,"TT",18.6602001315235
0.1,100,120,"TT",22.4754275096729
0.3,100,120,"AC",25.163885452862
0.1,80,100,"TT",17.2536760315668
0.3,80,100,"AC",20.8167686639665
0.1,100,100,"AC",23.5956072465584
0.3,100,100,"TT",17.9114998066054
0.1,80,120,"AC",23.981009656072
0.3,80,120,"TT",18.9717118194852
0.1,100,120,"TT",17.7351013755287
0.3,100,120,"AC",25.0813663642242
0.1,80,100,"TT",14.9379099380252
0.3,80,100,"AC",20.9123092798092
0.1,100,100,"AC",26.0251690811372
0.3,100,100,"TT",20.1915306774314
0.1,80,120,"AC",23.6513981998564
0.3,80,120,"TT",18.9495082024951
0.1,100,120,"TT",20.2716287107048
0.3,100,120,"AC",25.1183380900879
0.1,80,100,"TT",15.5898738354506
0.3,80,100,"AC",21.1281323201447
0.1,100,100,"AC",23.7593283392199
0.3,100,100,"TT",21.8170817940879
0.1,80,120,"AC",25.1448385225676
0.3,80,120,"TT",18.1567432422298
0.1,100,120,"TT",20.3478941355713
0.3,100,120,"AC",24.4841236476869
0.1,80,100,"TT",17.3291735515802
0.3,80,100,"AC",21.3734628470152
0.1,100,100,"AC",25.284544340821
0.3,100,100,"TT",18.915174168748
0.1,80,120,"AC",23.0230800624627
0.3,80,120,"TT",18.0311015713734
0.1,100,120,"TT",19.1682666335244
0.3,100,120,"AC",25.212381123747
0.1,80,100,"TT",15.3648698956507
0.3,80,100,"AC",21.5793031304978
0.1,100,100,"AC",23.8811239543199
0.3,100,100,"TT",19.7860210583
0.1,80,120,"AC",24.3524594671614
0.3,80,120,"TT",22.3717100716607
0.1,100,120,"TT",19.8910185828455
0.3,100,120,"AC",24.0640355637589
0.1,80,100,"TT",17.47065269505
0.3,80,100,"AC",23.2111756877907
0.1,100,100,"AC",23.9987010726903
0.3,100,100,"TT",18.5887653797793
0.1,80,120,"AC",24.0223022695361
0.3,80,120,"TT",18.2863214853436
0.1,100,120,"TT",20.7714264837951
0.3,100,120,"AC",24.9358086194984
0.1,80,100,"TT",16.523470195875
0.3,80,100,"AC",20.2257075525075
0.1,100,100,"AC",25.0869271327879
0.3,100,100,"TT",20.218882829397
0.1,80,120,"AC",24.1478978163712
0.3,80,120,"TT",18.7016146794889
0.1,100,120,"TT",20.2069049867266
0.3,100,120,"AC",25.5950402193481
0.1,80,100,"TT",15.8896986905235
0.3,80,100,"AC",21.9101089241767
0.1,100,100,"AC",24.727455585639
0.3,100,100,"TT",19.3750161128726
0.1,80,120,"AC",23.5561679819993
0.3,80,120,"TT",20.3338194355595
0.1,100,120,"TT",21.2381595767118
0.3,100,120,"AC",24.6004509328771
0.1,80,100,"TT",16.121632430531
0.3,80,100,"AC",21.5891158725229
0.1,100,100,"AC",24.4841616929112
0.3,100,100,"TT",19.3338177790792
0.1,80,120,"AC",25.9322091498482
0.3,80,120,"TT",18.0501322549756
0.1,100,120,"TT",19.9376241800776
0.3,100,120,"AC",24.4427423234961
0.1,80,100,"TT",16.8919288544047
0.3,80,100,"AC",21.0035855128542
0.1,100,100,"AC",25.5327920435548
0.3,100,100,"TT",19.7489334333266
0.1,80,120,"AC",24.8781217955073
0.3,80,120,"TT",18.7058900687501
0.1,100,120,"TT",20.5194689714335
0.3,100,120,"AC",24.635803426923
0.1,80,100,"TT",16.8768794175653
0.3,80,100,"AC",20.3531347378636
0.1,100,100,"AC",23.4181840062317
0.3,100,100,"TT",20.3290462520651
0.1,80,120,"AC",22.4167877388215
0.3,80,120,"TT",18.6679343803285
0.1,100,120,"TT",18.7803730818578
0.3,100,120,"AC",23.7944692085952
0.1,80,100,"TT",16.7670266913615
0.3,80,100,"AC",20.4296387124923
0.1,100,100,"AC",26.0110220822999
0.3,100,100,"TT",18.4844130069946
0.1,80,120,"AC",24.1871952537007
0.3,80,120,"TT",19.3405562218432
0.1,100,120,"TT",18.8472459155664
0.3,100,120,"AC",25.5032489830175
0.1,80,100,"TT",17.8283339784562
0.3,80,100,"AC",20.4124087411575
0.1,100,100,"AC",23.9610615014562
0.3,100,100,"TT",20.1480459406976
0.1,80,120,"AC",23.4832378334885
0.3,80,120,"TT",17.484470989076
0.1,100,120,"TT",20.6491582339686
0.3,100,120,"AC",26.2213798817285
0.1,80,100,"TT",17.5237910773722
0.3,80,100,"AC",21.698480808003
0.1,100,100,"AC",22.6127682490873
0.3,100,100,"TT",19.8247426876025
0.1,80,120,"AC",24.687772116045
0.3,80,120,"TT",21.1411717095917
0.1,100,120,"TT",20.9561298014597
0.3,100,120,"AC",24.9360103695811
0.1,80,100,"TT",17.6695524222391
0.3,80,100,"AC",21.644259348201
0.1,100,100,"AC",25.3354375915221
0.3,100,100,"TT",20.6881648765162
0.1,80,120,"AC",24.7842131791789
0.3,80,120,"TT",20.1112388749581
0.1,100,120,"TT",20.6715325136568
0.3,100,120,"AC",24.3185047593152
0.1,80,100,"TT",17.235312493129
0.3,80,100,"AC",21.7556522290089
0.1,100,100,"AC",25.8515815884207
0.3,100,100,"TT",18.5755962163698
0.1,80,120,"AC",25.7492588620156
0.3,80,120,"TT",19.5740487282372
0.1,100,120,"TT",20.8970441335914
0.3,100,120,"AC",26.0209906629887
0.1,80,100,"TT",15.6055865200281
0.3,80,100,"AC",21.6254067674181
0.1,100,100,"AC",25.0801964337371
0.3,100,100,"TT",17.3878503888214
0.1,80,120,"AC",24.1442521262375
0.3,80,120,"TT",19.800805467823
0.1,100,120,"TT",21.4165736094579
0.3,100,120,"AC",24.0045840041209
0.1,80,100,"TT",17.1954011051419
0.3,80,100,"AC",20.8857523347121
0.1,100,100,"AC",23.5921741469642
0.3,100,100,"TT",20.7187370254758
0.1,80,120,"AC",24.845269078814
0.3,80,120,"TT",17.6043512242227
0.1,100,120,"TT",20.3171486129426
0.3,100,120,"AC",25.9377142212243
0.1,80,100,"TT",17.6347928285914
0.3,80,100,"AC",20.5773279479369
0.1,100,100,"AC",23.972356334771
0.3,100,100,"TT",19.2544959402534
